serial	token_full_name	token	description	price-usd	price_change_percentage	volume_24h_usd	circulating_market_cap_usd	onchain_market_cap_usd	holders
1	Binance-Peg Ethereum Token (ETH)	ETH	"Ethereum is a global, open-source platform for decentralized applications. Eth is fueling transactions on the Chain."	1277.85	0.074234	3477152949	1.5399E+11	773099250	1434523
2	Binance-Peg BSC-USD (BSC-USD)	BUSD	A pegged token by Binance which gives you the joint benefits of open blockchain technology and traditional currency by converting your cash into a stable digital currency equivalent.	1	0.000058	18406830852	65769944227	3183177920	5835894
3	Wrapped BNB (WBNB)	WBNB	"As the native coin of Binance Chain, BNB has multiple use cases: fueling transactions on the Chain, paying for transaction fees on Binance Exchange, making in-store payments, and many more."	289.12	0.016796	537999304	46250081041	1102983827	1767472
4	Binance-Peg USD Coin (USDC)	USDC	USD Coin (known by its ticker USDC) is a stablecoin that is pegged to the U.S. dollar on a 1:1 basis.	1	0.000058	1288891975	42758873402	879000000	577583
5	USDC (anyUSDC)		Cross-chain router protocol.	1	0.000058	1288891975	42758873402	3015960	1719
6	Binance-Peg BUSD Token (BUSD)	BUSD	"BUSD is a 1:1 USD-backed stablecoin approved by NYDFS and issued by Paxos on Ethereum. Binance provides Binance-Peg BUSD on other chains by locking an equivalent amount of assets on Ethereum. Note that Binance-Peg BUSD is provided by Binance, which is not issued by Paxos nor regulated by the NYDFS."	1	0.000058	3942378269	22105526278	4852215626	4353878
7	Binance-Peg XRP Token (XRP)	XRP	"XRP is a digital asset built for payments. It is the native digital asset on the XRP Ledger—an open-source, permissionless and decentralized blockchain technology that can settle transactions in 3-5 seconds."	0.39	0.000023	392899741	19606478977	107767535	250281
9	Binance-Peg Cardano Token (ADA)	ADA	Cardano (ADA) is a decentralized platform that will allow complex programmable transfers of value in a secure and scalable fashion. Cardano is built in the secure Haskell programming language.	0.31	0.000018	124139015	10844381863	88094871	501540
10	Matic Token (MATIC)	MATIC	"Matic Network brings massive scale to Ethereum using an adapted version of Plasma with PoS based side chains. Polygon is a well-structured, easy-to-use platform for Ethereum scaling and infrastructure development."	0.92	0.000053	230266894	8200261833	91579200	298474
11	Binance-Peg Polkadot Token (DOT)	DOT	"Polkadot is a blockchain project that aims to connect blockchains, to enable the transfer of value and logic across chains. DOT is the native coin of the network."	5.31	0.000308	111586449	6076279612	84882547	189340
12	Binance-Peg Dai Token (DAI)	DAI	"Dai is a stable cryptocurrency supported by Maker (MKR). To ensure price stability, Dai minimizes the price volatility against the US dollar, through an incentive structure for its participants."	1	0.000058	92743435	5878615033	127523317	115962
13	Binance-Peg Litecoin Token (LTC)	LTC	"Litecoin is a peer-to-peer Internet currency that enables instant, near-zero cost payments to anyone in the world. Litecoin is an open source, global payment network that is fully decentralized without any central authorities."	77.25	0.004488	325387829	5540400900	56006250	62193
14	Binance-Peg SHIBA INU Token (SHIB)	SHIB	SHIBA INU is an experiment in decentralized spontaneous community building.	0	0	59926052	5086435574	68459482	1006384
15	Binance-Peg Uniswap (UNI)	UNI	Uniswap is an automated liquidity protocol powered by a constant product formula and implemented in a system of non-upgradeable smart contracts on the Ethereum blockchain.	6.16	0.000358	56815466	4691689205	29545831	59612
16	Binance-Peg Avalanche Token (AVAX)	AVAX	"Avalanche is an umbrella platform for launching decentralized finance (DeFi) applications, financial assets, trading and other services."	13.47	0.000783	90528649	4183725515	26940603	99369
17	Binance-Peg ChainLink Token (LINK)	LINK	"A blockchain-based middleware, acting as a bridge between cryptocurrency smart contracts, data feeds, APIs and traditional bank account payments."	6.91	0.000401	167883671	3402057658	59426000	127332
18	Binance-Peg Cosmos Token (ATOM)	ATOM	"Cosmos is a decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint consensus."	9.76	0.000567	68400345	2796188444	18552057	48328
19	Binance-Peg Ethereum Classic (ETC)	ETC	"Ethereum Classic (ETC) is a hard fork of Ethereum (ETH) that launched in July 2016. Its main function is as a smart contract network, with the ability to host and support decentralized applications (DApps). Its native token is ETC."	19.31	0.001122	79225431	2670815903	15446363	28578
20	Binance-Peg BitTorrent Token (BTT)	BTT	BitTorrent is a popular peer-to-peer (P2P) file sharing and torrent platform.	0	0	1048627	2517192710	5181956	78572
21	Binance-Peg Bitcoin Cash Token (BCH)	BCH	Bitcoin ABC is an electronic cash platform that allows peer-to-peer online cash payments. It is a fork (a copy in a way) of Bitcoin (BTC).	110.31	0.006408	100803873	2123691042	9541741	16226
22	Binance-Peg NEAR Protocol (NEAR)	NEAR	"NEAR Protocol is a decentralized application platform designed to make apps usable on the web. The network runs on a Proof-of-Stake (PoS) consensus mechanism called Nightshade, which aims to offer scalability and stable fees."	1.72	0.0001	34936301	1440059453	11889674	36395
23	Binance-Peg EOS Token (EOS)	EOS	EOS is a cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized applications and decentralized autonomous corporations.	1.04	0.000061	137449946	1124517967	14456700	38007
24	Binance-Peg Elrond Token (EGLD)	EGLD	"Elrond is a blockchain protocol that seeks to offer extremely fast transaction speeds by using sharding. The project describes itself as a technology ecosystem for the new internet, which includes fintech, decentralized finance and the Internet of Things."	46.03	0.002674	21602093	1095678193	13809985	31468
25	Trust Wallet (TWT)	TWT	Utility token to increase adoption of cryptocurrency.	2.58	0.00015	47515807	1075824956	2582083798	298775
26	Binance-Peg FLOW Token (FLOW)	FLOW	"Flow is a layer-1 blockchain that aims to be fast, decentralized, and developer-oriented. It is designed as the foundation to power games, apps, and the associated digital assets."	1.04	0.00006	27106819	1073096813	3418904	4428
27	Frax (FRAX)	FRAX	"Frax is a fractional-algorithmic stablecoin protocol. It aims to provide a highly scalable, decentralized, algorithmic money in place of fixed-supply assets like BTC. Additionally, FXS is the value accrual and governance token of the entire Frax ecosystem."	1	0.000058	5503202	1022243391	1033876	737
28	Binance-Peg Axie Infinity Shard Token (AXS)	AXS	"Axie Infinity is a Pokémon-inspired digital pet universe where anyone can earn tokens through skilled gameplay and contributions to the ecosystem. Players can battle, collect, raise, and build a land-based kingdom for their pets (known as Axies)."	8.53	0.000496	190278923	969495771	10321300	78425
29	Binance-Peg Tezos Token (XTZ)	XTZ	"Tezos is a smart contract platform that uses blockchain voting to be self-governing by its token holders. Also, the platform aims to boost the security of smart contracts."	1	0.000058	9944721	921655028	4913174	18434
30	Binance-Peg Paxos Standard (PAX)	PAX	Paxos Standard (PAX) is a stablecoin that allows users to exchange US dollars for Paxos Standard Tokens to 'transact at the speed of the internet'.	1	0.000058	127525140	918323105	3571572	1013
31	Binance-Peg BTCB Token (BTCB)	BTCB	"Bitcoin BEP2 (BTCB) is a token on Binance Chain issued by Binance, where the price is pegged to BTC at a rate of 1 BTCB = 1 BTC."	17192.58	0.998771	1109384	918101966	1040168439	518419
32	Chain (XCN)	XCN	Chain is a cloud blockchain protocol that enables organizations to build better financial services from the ground up powered by Sequence and Chain Cloud.	0.04	0.000002	11899116	819203053	16210234	5658
33	Binance-Peg Pax Dollar Token (USDP)	USDP	Pax Dollar (USDP) is a digital dollar redeemable one-to-one for US dollars and regulated by the New York Department of Financial Services.	1	0.000058	1188895	767542322	2430492	568
34	Binance-Peg TrueUSD Token (TUSD)	TUSD	"TUSD is a regulated, exchange-independent stablecoin backed 1-for-1 with US Dollars."	1	0.000058	24798894	756756214	113113000	13145
35	Binance-Peg Zcash Token (ZEC)	ZEC	Zcash (ZEC) is a decentralized and open-source privacy-focused cryptocurrency that enables selective transparency of transactions. Zcash transactions can either be transparent or shielded through a zero-knowledge proof called zk-SNARKs.	46.12	0.002679	23407977	732717139	4612338	6237
36	Decentralized USD (USDD)	USDD	USDD is a fully decentralized over-collateralization stablecoin.	0.98	0.000057	150361770	707406313	107930473	3139
37	Binance-Peg Synthetix Network Token (SNX)	SNX	Synthetix is a derivatives liquidity protocol on Ethereum that enables the issuance and trading of synthetic assets.	2.93	0.00017	78134062	684978265	3223886	9636
38	BitTorrent (BTT)	BTT	"BTT is the official token of BitTorrent Chain, mapped from BitTorrent Chain at a ratio of 1:1. BitTorrent Chain is a brand-new heterogeneous cross-chain interoperability protocol, which leverages sidechains for the scaling of smart contracts."	0	0	13472056	650318223	25188977	29233
