tablescraper-selected-row,u-xs-avatar src,text-primary,text-primary href,d-none,u-label,text-nowrap,small,d-block,text-danger,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,tablescraper-selected-row 5,text-success,tablescraper-selected-row 6
1,https://bscscan.com/token/images/ethereum_32.png,Binance-Peg Ethereum Token (ETH),https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8,"Ethereum is a global, open-source platform for decentralized applications. Eth is fueling transactions on the Chain.",Cross-Chain,"$1,262.76 ",0.073741 BTC,4.410454 BNB,-1.43%,"$5,808,756,552.00 ","$154,528,464,076.00 ","$763,968,024.00 ","1,434,155",,
2,https://bscscan.com/token/images/busdt_32.png,Binance-Peg BSC-USD (BSC-USD),https://bscscan.com/token/0x55d398326f99059ff775485246999027b3197955,A pegged token by Binance which gives you the joint benefits of open blockchain technology and traditional currency by converting your cash into a stable digital currency equivalent.,Cross-Chain,$1.00 ,0.000058 BTC,0.003496 BNB,,"$28,241,563,194.00 ","$65,754,910,536.00 ","$3,183,177,920.00 ","5,851,018",0.06%,
3,https://bscscan.com/token/images/binance_32.png,Wrapped BNB (WBNB),https://bscscan.com/token/0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,"As the native coin of Binance Chain, BNB has multiple use cases: fueling transactions on the Chain, paying for transaction fees on Binance Exchange, making in-store payments, and many more.",,$286.25 ,0.016716 BTC,0.999806 BNB,-1.20%,"$656,414,845.00 ","$45,791,777,440.00 ","$1,092,497,518.00 ","1,767,055",,
4,https://bscscan.com/token/images/centre-usdc_28.png,Binance-Peg USD Coin (USDC),https://bscscan.com/token/0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USD Coin (known by its ticker USDC) is a stablecoin that is pegged to the U.S. dollar on a 1:1 basis.,Cross-Chain,$1.00 ,0.000058 BTC,0.003493 BNB,,"$2,141,609,368.00 ","$42,814,638,398.00 ","$879,021,415.00 ","577,265",0.01%,
5,https://bscscan.com/token/images/usdcgno_32.png,USDC (anyUSDC),https://bscscan.com/token/0x8965349fb649a33a30cbfda057d8ec2c48abe2a2,Cross-chain router protocol.,,$1.00 ,0.000058 BTC,0.003493 BNB,,"$2,141,609,368.00 ","$42,814,638,398.00 ","$3,016,033.00 ","1,719",0.01%,
6,https://bscscan.com/token/images/busd_32_2.png,Binance-Peg BUSD Token (BUSD),https://bscscan.com/token/0xe9e7cea3dedca5984780bafc599bd69add087d56,"BUSD is a 1:1 USD-backed stablecoin approved by NYDFS and issued by Paxos on Ethereum. Binance provides Binance-Peg BUSD on other chains by locking an equivalent amount of assets on Ethereum. Note that Binance-Peg BUSD is provided by Binance, which is not issued by Paxos nor regulated by the NYDFS.",Cross-Chain,$1.00 ,0.000058 BTC,0.003493 BNB,,--,"$5,910,079,240.00 ","$22,102,177,482.00 ","$4,851,480,557.00 ",,"4,347,689"
7,https://bscscan.com/token/images/xrp_32.png,Binance-Peg XRP Token (XRP),https://bscscan.com/token/0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,"XRP is a digital asset built for payments. It is the native digital asset on the XRP Ledger—an open-source, permissionless and decentralized blockchain technology that can settle transactions in 3-5 seconds.",Cross-Chain,$0.39 ,0.000023 BTC,0.001357 BNB,-1.15%,"$716,459,486.00 ","$19,582,246,200.00 ","$107,634,339.00 ","250,079",,
8,https://bscscan.com/token/images/dogecoin_32.png,Binance-Peg Dogecoin Token (DOGE),https://bscscan.com/token/0xba2ae424d960c26247dd6c32edc70b295c744c43,"Dogecoin (DOGE) is based on the popular ""doge"" Internet meme and features a Shiba Inu on its logo. Dogecoin's creators envisaged it as a fun, light-hearted cryptocurrency. that would have greater appeal beyond the core Bitcoin audience, since it was based on a dog meme.",Cross-Chain,$0.10 ,0.000006 BTC,0.000336 BNB,-2.22%,"$432,819,005.00 ","$12,763,199,947.00 ","$137,568,936.00 ","753,528",,
9,https://bscscan.com/token/images/cardano_32.png,Binance-Peg Cardano Token (ADA),https://bscscan.com/token/0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,Cardano (ADA) is a decentralized platform that will allow complex programmable transfers of value in a secure and scalable fashion. Cardano is built in the secure Haskell programming language.,Cross-Chain,$0.31 ,0.000018 BTC,0.001086 BNB,-1.24%,"$160,078,335.00 ","$10,718,469,797.00 ","$87,081,976.00 ","501,469",,
10,https://bscscan.com/token/images/matic_32.png,Matic Token (MATIC),https://bscscan.com/token/0xcc42724c6683b7e57334c4e856f4c9965ed682bd,"Matic Network brings massive scale to Ethereum using an adapted version of Plasma with PoS based side chains. Polygon is a well-structured, easy-to-use platform for Ethereum scaling and infrastructure development.",,$0.91 ,0.000053 BTC,0.003179 BNB,-1.62%,"$265,678,470.00 ","$8,150,151,243.00 ","$91,009,600.00 ","298,231",,
11,https://bscscan.com/token/images/polkadot_32.png,Binance-Peg Polkadot Token (DOT),https://bscscan.com/token/0x7083609fce4d1d8dc0c979aab8c869ea2c873402,"Polkadot is a blockchain project that aims to connect blockchains, to enable the transfer of value and logic across chains. DOT is the native coin of the network.",Cross-Chain,$5.28 ,0.000308 BTC,0.018437 BNB,-2.65%,"$144,853,637.00 ","$6,045,923,972.00 ","$84,459,702.00 ","189,294",,
12,https://bscscan.com/token/images/dai_32.png,Binance-Peg Dai Token (DAI),https://bscscan.com/token/0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,"Dai is a stable cryptocurrency supported by Maker (MKR). To ensure price stability, Dai minimizes the price volatility against the US dollar, through an incentive structure for its participants.",Cross-Chain,$1.00 ,0.000058 BTC,0.003493 BNB,,"$110,526,388.00 ","$5,873,474,327.00 ","$127,500,119.00 ","115,933",0.01%,
13,https://bscscan.com/token/images/litecoin_32.png,Binance-Peg Litecoin Token (LTC),https://bscscan.com/token/0x4338665cbb7b2485a8855a139b75d5e34ab0db94,"Litecoin is a peer-to-peer Internet currency that enables instant, near-zero cost payments to anyone in the world. Litecoin is an open source, global payment network that is fully decentralized without any central authorities.",Cross-Chain,$76.34 ,0.004458 BTC,0.266649 BNB,-2.34%,"$449,381,247.00 ","$5,481,072,851.00 ","$55,349,523.00 ","62,172",,
14,https://bscscan.com/token/images/shibatoken_32.png,Binance-Peg SHIBA INU Token (SHIB),https://bscscan.com/token/0x2859e4544c4bb03966803b044a93563bd2d0dd4d,SHIBA INU is an experiment in decentralized spontaneous community building.,Cross-Chain,$0.00 ,0.000000 BTC,0.000000 BNB,-0.98%,"$81,341,760.00 ","$5,044,144,088.00 ","$67,890,452.00 ","1,006,098",,
15,https://bscscan.com/token/images/uniswap_32.png,Binance-Peg Uniswap (UNI),https://bscscan.com/token/0xbf5140a22578168fd562dccf235e5d43a02ce9b1,Uniswap is an automated liquidity protocol powered by a constant product formula and implemented in a system of non-upgradeable smart contracts on the Ethereum blockchain.,Cross-Chain,$6.14 ,0.000358 BTC,0.021440 BNB,-0.34%,"$75,435,635.00 ","$4,678,866,397.00 ","$29,465,080.00 ","59,594",,
16,https://bscscan.com/token/images/avax_32.png,Binance-Peg Avalanche Token (AVAX),https://bscscan.com/token/0x1ce0c2827e2ef14d5c4f29a091d735a204794041,"Avalanche is an umbrella platform for launching decentralized finance (DeFi) applications, financial assets, trading and other services.",Binance Peg,$13.38 ,0.000781 BTC,0.046739 BNB,-0.20%,"$114,300,425.00 ","$4,156,142,615.00 ","$26,763,797.00 ","99,337",,
